ticker,revenue,revenue_previous,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,total_assets,total_liabilities,total_debt,long_term_debt,short_term_debt,equity,invested_capital,roic,roic_using_total_assets,debt_to_equity_ratio,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,debt_free_flag,net_cash_status,net_cash_flag,is_high_growth,market_cap,cap_size,dividend_yield,eps,bps,missing_critical,missing_items,roe,pbr,per,equity_ratio,score_growth,score_profit,score_value,score_safety,penalty,total_score,sector
7367,8184641000.0,7504627000.0,9.061263138061358,1074748000.0,13.13,552623000.0,4226542000.0,3958098000.0,96260000.0,975797000.0,975797000.0,423291000.0,7283484000.0,4476743000.0,2729040000.0,,,2806330000.0,5535370000.0,13.591207091847519,False,0.9724586916007739,1701954000.0,,1058826000.0,-2486093000.0,1147872000.0,,False,,False,False,75.27775744,小型,432.0,29.77,141.321,False,[],22.944,2.462479,11.68962,38.53004963009461,18.122526276122716,30.0,4.5775950000000005,6.176683210031537,0.0,58.87680448615425,情報通信・サービスその他
3681,10463846000.0,11084673000.0,-5.600769639302847,-236769000.0,-2.26,-1417278000.0,3947983000.0,6515863000.0,,-973218000.0,-973218000.0,414321000.0,10481052000.0,10457389000.0,7885309000.0,,,-121805000.0,7763504000.0,-2.134838856269025,False,-64.73715364722302,1006735000.0,,815786000.0,-473127000.0,-759595000.0,,False,,False,False,39.07491584,小型,,-71.74,29.751,False,[],-246.86499999999998,5.07546,5.6343284,-1.1621447923357313,0.0,0.0,5.0,0.0,-80.0,0.0,情報通信・サービスその他
7744,106539000000.0,90052000000.0,18.308310753786703,20507000000.0,19.25,16120000000.0,52661000000.0,53877000000.0,503000000.0,20437000000.0,20437000000.0,6208000000.0,299368000000.0,76409000000.0,37379000000.0,,,222246000000.0,259625000000.0,5.529090033702456,False,0.16818750393707874,92856000000.0,,32595000000.0,38000000.0,-11828000000.0,,False,実質無借金,True,False,2299.88909056,中型,343.0,108.07,2100.624,False,[],7.555000000000001,1.0463557,20.338669,74.23839555329896,36.616621507573406,15.110000000000001,7.183554249999999,10.0,0.0,68.9101757575734,電機・精密
9057,48631000000.0,46940000000.0,3.602471239880699,3240000000.0,6.66,2390000000.0,4466000000.0,44165000000.0,,3345000000.0,3345000000.0,955000000.0,40078000000.0,16875000000.0,9543000000.0,,,23203000000.0,32746000000.0,6.926036767849508,False,0.41128302374692927,7400000000.0,,4825000000.0,-729000000.0,-2452000000.0,,False,,False,False,274.6522624,小型,261.0,309.44,3187.917,False,[],10.0389995,1.1527903,11.876292,57.89460551923749,7.204942479761398,20.077999,8.766975500000001,10.0,0.0,46.0499169797614,運輸・物流
5202,840401000000.0,832537000000.0,0.9445826431738169,16491000000.0,1.96,-13831000000.0,168173000000.0,672228000000.0,6593000000.0,-8525000000.0,-8525000000.0,4941000000.0,1032931000000.0,890520000000.0,522725000000.0,,,108065000000.0,630790000000.0,1.8300385231217995,False,4.83713505760422,65311000000.0,,52419000000.0,-42444000000.0,8513000000.0,,False,,False,False,659.88452352,中型,,-175.3,1099.007,False,[],-9.742,0.6032719,11.896645,10.461976647036444,1.8891652863476338,0.0,9.52583875,0.0,0.0,11.415004036347634,建設・資材
4666,370913000000.0,330123000000.0,12.356000642184881,38698000000.0,10.43,18625000000.0,102069000000.0,268843000000.0,,32301000000.0,32301000000.0,13675000000.0,295701000000.0,217556000000.0,143981000000.0,,,78145000000.0,222126000000.0,12.195150500166573,False,1.842485123808305,48733000000.0,,54176000000.0,-37563000000.0,-42508000000.0,,False,,False,False,3899.78783744,大型,284.0,85.23,575.352,False,[],18.053,3.9714818,26.809807,26.42703271209769,24.712001284369762,30.0,0.7975482500000002,2.142344237365897,0.0,57.65189377173566,不動産
9640,24383235000.0,23864278000.0,2.1746184820676326,2141835000.0,8.78,1506019000.0,8853585000.0,15529649000.0,2126233000.0,2149980000.0,2149980000.0,643960000.0,21179497000.0,6944306000.0,6664000.0,,,14235191000.0,14241855000.0,10.527311926711794,False,0.0004681356224865546,12326345000.0,,1188322000.0,-249597000.0,-1460006000.0,,False,実質無借金,True,False,402.87850496,小型,362.0,95.81,827.995,False,[],7.961,3.0036414,25.957624,67.21212973093742,4.349236964135265,15.922,1.0105940000000002,10.0,0.0,31.281830964135267,情報通信・サービスその他
6228,17880000000.0,24984000000.0,-28.434197886647457,789000000.0,4.41,318000000.0,3711000000.0,14168000000.0,,570000000.0,570000000.0,251000000.0,25491000000.0,13023000000.0,7638000000.0,,,12468000000.0,20106000000.0,2.7469412115786334,False,0.6126082771896054,2887000000.0,,-1390000000.0,302000000.0,392000000.0,,False,,False,False,104.61702144,小型,92.0,-185.14,747.275,False,[],-23.634,1.0665418,32.89843441509434,48.91138048723079,0.0,0.0,4.6672910000000005,9.637126829076928,-40.0,0.0,機械
3943,23485000000.0,21964000000.0,6.924968129666727,904000000.0,3.85,944000000.0,4327000000.0,19157000000.0,,1320000000.0,1320000000.0,375000000.0,26692000000.0,7970000000.0,641000000.0,,,18658000000.0,19299000000.0,3.2789263692419293,False,0.03435523635973845,7441000000.0,,2160000000.0,-1774000000.0,-388000000.0,,False,実質無借金,True,False,112.02592768,小型,364.0,101.67,2396.7,False,[],4.2729996,0.59581923,14.045442,69.9010939607373,13.849936259333454,8.5459992,8.9886395,10.0,0.0,41.384574959333456,素材・化学
1793,70092000000.0,83060000000.0,-15.612810016855287,1822000000.0,2.6,1788000000.0,7807000000.0,62285000000.0,2313000000.0,2789000000.0,2789000000.0,1001000000.0,90139000000.0,25276000000.0,3000000000.0,,,64863000000.0,67863000000.0,1.8793746224010137,False,0.046251329725729616,10177000000.0,,-355000000.0,1936000000.0,-9972000000.0,,False,実質無借金,True,False,421.61516544,小型,235.0,50.93,1404.961,False,[],3.313,1.1808157,32.57412,71.95886353298793,0.0,6.626,4.0959215,10.0,-40.0,0.0,建設・資材
5036,172580000000.0,140858000000.0,22.5205526132701,17879000000.0,10.36,5629000000.0,17863000000.0,154716000000.0,-16000000.0,7358000000.0,7358000000.0,1729000000.0,74467000000.0,47225000000.0,23725000000.0,,,27242000000.0,50967000000.0,24.555692899327017,False,0.8708978782761911,2939000000.0,,1135000000.0,-4743000000.0,3134000000.0,,False,,False,True,859.50652416,中型,243.00000000000003,118.13,595.142,False,[],22.525999,3.1757126,15.999323,36.58264734714706,40.0,30.0,3.50016925,5.527549115715686,0.0,79.02771836571569,情報通信・サービスその他
6262,22040325000.0,17542574000.0,25.639059581564254,1573460000.0,7.14,964908000.0,7411286000.0,14629039000.0,,1555524000.0,1555524000.0,437875000.0,46391590000.0,12754160000.0,6740666000.0,,,32477524000.0,39218190000.0,2.808446794714391,False,0.20754864194696615,9456876000.0,,2442264000.0,-1641991000.0,-1519699000.0,,False,実質無借金,True,True,181.7161728,小型,237.0,46.0,1237.736,False,[],3.9619997,0.6132164,16.5,70.00735262576687,40.0,7.9239994,8.375,10.0,0.0,66.2989994,機械
5704,3072417000.0,3640001000.0,-15.592962749186057,88090000.0,2.87,50671000.0,1024641000.0,2047776000.0,,82274000.0,82274000.0,31602000.0,4701386000.0,1799647000.0,1254202000.0,,,2901739000.0,4155941000.0,1.4837313619226067,False,0.4322242627610547,419712000.0,,529055000.0,-212097000.0,-200489000.0,,False,,False,False,21.93711616,小型,,-12.76,523.243,False,[],1.485,0.7549074,9.122402,61.72092655229756,0.0,2.97,10.0,10.0,-40.0,0.0,鉄鋼・非鉄
