rank,ticker,sector,value_rank_score,score_value,score_safety,score_profit,penalty,total_score,debt_free_flag,net_cash_flag,net_cash_status,is_high_growth,debt_to_equity_ratio,market_cap,cap_size,dividend_yield,eps,bps,revenue,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,total_liabilities,equity,total_debt,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,score_growth
2452,8362,銀行,13.797462450000001,8.19546225,0.0,5.6020002,0.0,34.16027067993561,False,True,実質無借金,False,3.8387264714724623,688.50671616,中型,263.0,169.24,6199.289,56122000000.0,10.181404114967803,8813000000.0,15.7,7166000000.0,,,16028000000.0,8813000000.0,8813000000.0,1654000000.0,2.8010001,0.4700539,17.218151,3.1813277751793585,0.9348665158336756,False,659891000000.0,4286795000000.0,4150347000000.0,136377000000.0,523514000000.0,872378000000.0,,112072000000.0,-133386000000.0,-2357000000.0,,False,[],50936000000.0,,,20.362808229935606
2453,4587,医薬品,13.749228500000001,3.7492285,10.0,0.0,0.0,53.7492285,False,True,実質無借金,True,0.3459064853223525,2198.57567744,中型,,-38.79,407.05,46676523000.0,62.56689753489406,21113842000.0,45.23,15014922000.0,34503824000.0,12172699000.0,278610000.0,20888805000.0,20888805000.0,5873882000.0,-10.485999999999999,4.180076,15.003086,61.186164130565466,19.34596742308851,False,76396745000.0,92769826000.0,36007528000.0,56762298000.0,19634447000.0,48117933000.0,,23844988000.0,8370789000.0,-2994633000.0,,False,[],28712194000.0,,,40.0
2454,5711,鉄鋼・非鉄,13.68918826113175,5.0,2.837187861131752,5.8520004,0.0,53.689188261131754,False,False,,True,0.8757471413721414,5834.92304896,大型,224.00000000000003,113.86,5164.264,1962076000000.0,27.35444055140649,37119000000.0,1.89,34076000000.0,166645000000.0,1795431000000.0,,49963000000.0,49963000000.0,9606000000.0,2.9260002,0.8645956,39.214825,28.511563583395255,2.045371890807701,False,1270346000000.0,2375345000000.0,1682071000000.0,677248000000.0,593098000000.0,91605000000.0,,58889000000.0,-79383000000.0,-13208000000.0,,False,[],1540642000000.0,,,40.0
2455,7183,金融（除く銀行）,13.63692675,4.7929267499999995,0.0,8.844000000000001,0.0,35.701344705871165,False,True,実質無借金,False,0.25408397644810926,28.83638784,小型,181.0,6.14,139.54,5376184000.0,11.032208977935582,58216000.0,1.08,89580000.0,58216000.0,5317968000.0,,135550000.0,135550000.0,45970000.0,4.422000000000001,1.1896231,27.035831,18.366233788253492,1.3760677295787431,False,2961424000.0,12857421000.0,10495997000.0,2361424000.0,600000000.0,929314000.0,,-243150000.0,-86853000.0,47769000.0,,False,[],4842004000.0,,,22.064417955871164
2456,7214,自動車・輸送機,13.626121140692156,10.0,2.034121140692155,1.592,0.0,29.03835386646414,False,False,,False,1.3871022297695599,48.95424,小型,441.0,-8.54,4287.857,103712142000.0,7.706116362885992,1943064000.0,1.87,592367000.0,18109464000.0,85602678000.0,,1730086000.0,1730086000.0,473439000.0,0.796,0.21432619,8.264174067765422,26.102363422076465,2.4651920672257357,False,55173989000.0,88548974000.0,54568536000.0,23113375000.0,32060614000.0,6144438000.0,,6833501000.0,-6010368000.0,518414000.0,,False,[],96291785000.0,,,15.412232725771984
2457,6030,情報通信・サービスその他,13.619744279105593,7.9287355,5.691008779105593,0.0,0.0,37.22689588126372,False,True,実質無借金,False,0.7640326872053326,131.35661056,小型,,-230.24,1249.423,22391725000.0,11.803575801079063,1489895000.0,6.65,712507000.0,15071150000.0,7320574000.0,84508000.0,1383390000.0,1383390000.0,726622000.0,-20.446,1.4142529,6.111438,37.07302633731678,5.368539398024382,False,19426634000.0,29705228000.0,17663416000.0,11012627000.0,8414007000.0,17007750000.0,,856748000.0,-295231000.0,2382047000.0,,False,[],20027736000.0,,,23.607151602158126
2458,4650,情報通信・サービスその他,13.580252902258547,1.1285334999999996,5.889719402258548,6.561999999999999,0.0,38.57562108612612,False,False,,False,1.192777766560495,26.95157248,小型,,5.6,169.645,4201829000.0,12.497684091933786,98114000.0,2.34,93821000.0,3913064000.0,288764000.0,1417468000.0,170474000.0,170474000.0,76653000.0,3.2809999999999997,1.7742933,53.75,37.66915820677564,1.9762623383671387,False,3475237000.0,4207304000.0,2622448000.0,1584856000.0,1890381000.0,486637000.0,,85005000.0,-216859000.0,-239883000.0,,False,[],3735036000.0,,,24.995368183867573
2459,4333,情報通信・サービスその他,13.461138250000001,3.4611382500000003,10.0,0.0,0.0,26.508990916679444,True,True,実質無借金,False,0.0,201.85612288,小型,430.0,72.05,523.717,17342598000.0,6.5239263333397215,1658699000.0,9.56,1194944000.0,3071084000.0,14271514000.0,,1627234000.0,1627234000.0,432290000.0,-0.914,2.2225745,16.155447,67.98306537205076,13.163007741543304,False,8820851000.0,12975071000.0,4154220000.0,8820851000.0,0.0,9166329000.0,,1361035000.0,-23312000.0,-1918621000.0,,False,[],16280472000.0,,,13.047852666679443
2460,5932,建設・資材,13.455792456305014,10.0,3.4557924563050144,0.0,0.0,17.079877866202843,False,False,,False,0.9795046032441912,203.70671616,小型,385.0,-143.33,2956.637,359424000000.0,1.8120427049489134,1545000000.0,0.43,-2336000000.0,69764000000.0,289660000000.0,,-477000000.0,-477000000.0,1661000000.0,-4.409,0.21984437,8.155583,30.367377368915044,0.5988040529317314,False,180610000000.0,300454000000.0,205650000000.0,91240000000.0,89370000000.0,21509000000.0,,3216000000.0,-14334000000.0,7470000000.0,,False,[],353027000000.0,,,3.624085409897827
2461,7562,小売,13.43698622638236,0.0,3.5409862263823593,9.896,0.0,14.048871166555028,False,False,,False,1.5031603162564728,171.79615232,小型,81.0,80.66,1664.727,30353499000.0,0.3059424700863338,1459945000.0,4.81,589601000.0,18922264000.0,11431234000.0,,990542000.0,990542000.0,400941000.0,4.948,2.2346005,46.11951,30.62295867914708,5.496890267286945,False,18591630000.0,24253904000.0,16826641000.0,7427263000.0,11164367000.0,7191117000.0,,1300060000.0,-298747000.0,1228778000.0,,False,[],30260918000.0,,,0.6118849401726676
