rank,ticker,growth_rank_score,score_growth,score_profit,penalty,total_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,score_value,score_safety
1703,6091,12.25909248935612,1.6910924893561214,10.568,0.0,30.98811773935612,False,実質無借金,0.005587476585172176,15725320000.0,0.8455462446780607,942252000.0,768062000.0,5.284,0.7072088,15.083899,77.9261425491288,4.054530592915173,False,16267639000.0,20759720000.0,16177249000.0,90390000.0,9135177000.0,False,[],15593470000.0,,,False,8.72902525,10.0
1704,2215,12.2527193640118,5.604719764011799,6.6479996,0.0,30.654685364011797,False,実質無借金,0.003973181028060591,27183000000.0,2.8023598820058995,607000000.0,2055000000.0,3.3239998,0.52343404,16.392136,51.03605601672898,5.254761315854563,False,8086000000.0,15781000000.0,8054000000.0,32000000.0,3956000000.0,False,[],26442000000.0,,,False,8.401966,10.0
1705,2752,12.251050947708025,10.539050947708025,1.712,0.0,16.444640204011076,False,実質無借金,1.249416705552963,31324000000.0,5.269525473854013,1217000000.0,459000000.0,0.856,6.415859,666.0494,32.580767768909155,4.418110154548283,False,19282000000.0,26310000000.0,8572000000.0,10710000000.0,12738000000.0,False,[],29756000000.0,,,False,0.0,4.193589256303052
1706,5440,12.231305107451508,1.1633051074515082,11.068,0.0,32.11628310745151,False,,0.4115986580553626,322849000000.0,0.5816525537257541,15333000000.0,10791000000.0,5.534,0.5745648,10.460088,57.531998594215885,3.745772826735628,False,286539000000.0,352828000000.0,202989000000.0,83550000000.0,64495000000.0,False,[],320982000000.0,,,False,9.884978,10.0
1707,7083,12.122528141473113,11.954528141473114,0.168,0.0,14.841950160743757,False,,3.2380355247422536,6268694000.0,5.977264070736557,144934000.0,98315000.0,0.084,1.5082071,30.858807,20.78137255781193,1.9866895804629077,False,5106676000.0,5798284000.0,1204963000.0,3901713000.0,2419112000.0,False,[],5915131000.0,,,False,2.4589645000000004,0.2604575192706437
1708,2264,12.085955324745594,5.159955324745594,6.926,0.0,26.035679824745593,False,,0.3932465718448206,561173000000.0,2.579977662372797,29658000000.0,5459000000.0,3.463,1.2100551,31.152794,51.17452533804232,5.595019606257832,False,371055000000.0,520423000000.0,266324000000.0,104731000000.0,28559000000.0,False,[],547059000000.0,,,False,3.9497245000000003,10.0
1709,3101,12.07377369558133,3.7497736955813306,8.324,0.0,24.53294853636895,False,,1.3366818219054641,422032000000.0,1.8748868477906653,16653000000.0,2003000000.0,4.162,0.60050786,15.648855,31.614165772362856,2.5542418412645547,False,456382000000.0,617799000000.0,195312000000.0,261070000000.0,28581000000.0,False,[],414265000000.0,,,False,8.58778625,3.8713885907876184
1710,2922,12.06299670185943,5.52299670185943,6.54,0.0,27.52063820185943,False,,0.2013104634617915,48892510000.0,2.761498350929715,1968762000.0,1352046000.0,3.27,0.90267915,28.169434,63.05296675982595,4.376471041045801,False,31489604000.0,41572526000.0,26212711000.0,5276893000.0,4509997000.0,False,[],47578627000.0,,,False,5.4576415,10.0
1711,6772,12.038347225711696,1.374347625711695,10.6639996,0.0,26.470022975711696,False,実質無借金,0.19880132368418657,10506474000.0,0.6871738128558476,1040448000.0,709008000.0,5.3319998,1.3298221,25.676855,63.05272300291686,8.019708536442085,False,9081547000.0,12014585000.0,7575523000.0,1506024000.0,3344533000.0,False,[],10434769000.0,,,False,4.43167575,10.0
1712,5035,12.031806286164326,12.031806286164326,0.0,0.0,28.137147786164327,False,実質無借金,0.23572529972093792,4918699000.0,6.015903143082163,78659000.0,125997000.0,-2.7509999,0.99692595,25.578634,64.00743148370663,1.355692790425578,False,4061488000.0,5134910000.0,3286724000.0,774764000.0,840288000.0,False,[],4639586000.0,,,False,6.1053415,10.0
